year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
1990,441685.0,5221963264.0,0.00018499013290444556,0.0004867645729391945,0.0,0.0
1991,456495.0,5668716032.0,0.00017838061349253537,0.0005609579893580434,0.0,0.0
1992,471299.0,6980115968.0,0.00019801814515566735,0.0008922602487455256,0.0,0.0
1993,486053.0,7619622912.0,0.00021242154872959878,0.0009542605425328676,0.0,0.0
1994,500685.0,8527819264.0,0.00022350108994031526,0.0009681017193411938,0.0,0.0
1995,515140.0,9599471616.0,0.00022972855620702833,0.0009647808282179787,0.0,0.0
1996,529277.0,10961503232.0,0.000252728155547895,0.0007101750449765447,0.0,0.0
1997,550596.0,15539098624.0,0.00026399872333121,0.0007750501400347297,0.0,0.0
1998,581004.0,18830878720.0,0.0003119845983679683,0.0008346527008655711,0.0,0.0
1999,613312.0,21447383040.0,0.0003415173064917057,0.0009293166849543886,0.0,0.0
2000,645947.0,25410875392.0,0.0003281836517243262,0.0008297642995666591,0.0,0.0
2001,678838.0,29107027968.0,0.0003572196907593073,0.000797373219730522,0.0,0.0
2002,713195.0,34542092288.0,0.00039275063326263946,0.0008782703753197418,0.0,0.0
2003,748535.0,39744811008.0,0.0004313380009275486,0.001007809911894714,0.0,0.0
2004,777951.0,52481273856.0,0.00047527411262521745,0.00121805453759469,0.0,0.0
2005,848718.0,62263799808.0,0.0005169179054517035,0.0013790867786086607,0.0,0.0
2006,1015064.0,86333710336.0,0.0006135773511865749,0.0014497920202096546,0.0,0.0
2007,1231904.0,111748800512.0,0.0006987752025655327,0.0015803786287992224,0.0,0.0
2008,1444287.0,144533995520.0,0.0007763319910405481,0.0017521975702712485,0.0,0.0
2009,1610281.0,178711953408.0,0.0008676426927426599,0.0017765528370722917,0.0,0.0
2010,1713512.0,234398711808.0,0.00101091262219158,0.0020668458085035023,0.0,0.0
2011,1804175.0,296602402816.0,0.0011037515364744801,0.0024170759081548325,0.0,0.0
2012,1905670.0,316628008960.0,0.00124969583793978,0.002741259316981542,0.0,0.0
2013,2035509.0,337404067840.0,0.0012481676253589915,0.0029769372599591274,3.0091342269458944e-06,0.061218243036424855
2014,2214471.0,357207343104.0,0.0013941119268242915,0.0032162149002176615,4.513701340418841e-06,0.0822143052891203
2015,2414580.0,374985752576.0,0.0014949739571563313,0.003667571091124812,4.513701340418841e-06,0.07666751852798363
2016,2595175.0,388615569408.0,0.0015243920493365093,0.003587900682629616,4.513701340418841e-06,0.07518796992481204
2017,2711764.0,394755702784.0,0.0016413003117668281,0.0034743088582769497,6.018268453891789e-06,0.0931098696461825
2018,2766743.0,400649388032.0,0.0017264981631457859,0.0034707463351503665,6.018268453891789e-06,0.08851515822084532
1985,22525364.0,140982681600.0,0.0027438292781766776,0.004427633851258315,0.0019127561713581575,17.70169038402629
1986,22587322.0,144140746752.0,0.0028836607293188233,0.0045216782661077265,0.0016264370496642559,14.322054108481943
1987,22653810.0,145192779776.0,0.002830211494305746,0.0046891726142887,0.0016864692774918263,15.131143778938702
1988,22719092.0,144309272576.0,0.0028777007002537486,0.00477602383026861,0.0022231483668676264,19.617110538753618
1989,22788042.0,135787315200.0,0.002897911311634676,0.004784338449461436,0.002057946897808297,18.03272204717143
1990,22836234.0,127957827584.0,0.0024566017236174824,0.004553474559474034,0.0017167110764726326,17.744945567651634
1991,22842488.0,114092097536.0,0.0021700618647196423,0.0038671715172917957,0.0021951634185570297,25.68661971830986
1992,22800964.0,108239806464.0,0.002063469037209646,0.003410115289382111,0.001760343522763348,21.66265506387706
1993,22721662.0,113423130624.0,0.002115046211811257,0.0033143794505091214,0.0019213322039049532,23.067196531791907
1994,22632776.0,121572614144.0,0.0021028205111649494,0.0031262100768091753,0.001963460083082196,23.710029069767444
1995,22533138.0,134463635456.0,0.0022560238223889944,0.0034356973032771783,0.002511122512386349,28.264182895850976
1996,22417872.0,144370663424.0,0.002331670345138024,0.003414625753444986,0.0023711977708333644,25.823365557922333
1997,22289540.0,143287533568.0,0.0021670054395580654,0.0032406692980970096,0.002636001582804603,30.888575458392104
1998,22161240.0,142127284224.0,0.00202449961639954,0.002965084900409294,0.0028421272773503973,35.64823551613512
1999,22039006.0,146476892160.0,0.0019282222238098654,0.0026077545372743724,0.00275185325054202,36.23935010897563
2000,21919882.0,156815900672.0,0.0019698660166363514,0.0026025563513557576,0.0022237501937130157,28.665632273079904
2001,21797588.0,171448598528.0,0.0020458945925305783,0.0026321283911525982,0.002244814133301637,27.861811391223156
2002,21653530.0,185753403392.0,0.002079133216162728,0.0027325109993211315,0.00241483021712408,29.492833517089306
2003,21481322.0,199208615936.0,0.002095179448261007,0.0027321268663927,0.001995055992465128,24.179431072210065
2004,21289292.0,222641553408.0,0.0021582182172185317,0.0028317474043967642,0.002484040304343836,29.226411754292798
2005,21092264.0,237715210240.0,0.0022697777356160908,0.0028377696174037887,0.0030422347034422988,34.03467429725636
2006,20909406.0,267838078976.0,0.0023954732203859434,0.002895556840363171,0.002762385220336331,29.282296650717697
2007,20744226.0,296749072384.0,0.002356503799575837,0.0027937554186363983,0.0024088119486701887,25.95654993514916
2008,20597516.0,330879238144.0,0.0024814351780552955,0.0028015310125909416,0.002590864569400415,26.512702078521936
2009,20466318.0,318474878976.0,0.0022055928072229744,0.002447496757809659,0.002339601861450433,26.935735319591203
2010,20335212.0,326789267456.0,0.002315624113039745,0.0024699747298153026,0.0030542712403500826,33.49282296650718
2011,20220286.0,341004451840.0,0.002368729500222145,0.0025303331651182195,0.0024554535291878496,26.322580645161292
2012,20137112.0,339489751040.0,0.002245708387468672,0.002432967859145592,0.0022463187004151098,25.399795848928207
2013,20066550.0,354085470208.0,0.0022369211651291384,0.0022697733214860952,0.003031702733647988,34.415029888983774
2014,19995836.0,363278368768.0,0.0024906044535400263,0.0023558129017623836,0.004080386011738633,41.60147261849978
2015,19906078.0,377295405056.0,0.0025184943331394163,0.0023679378717775556,0.003940461270185648,39.729975728155345
2016,19797820.0,345273794560.0,0.002467681264828199,0.002368594615171326,0.004057817505036538,41.755689735253135
2017,19698852.0,369827774464.0,0.0024432298635355836,0.0024084143301879393,0.0036545935186257884,37.982799061767004
2018,19606778.0,386236481536.0,0.002461950467650242,0.0024544111505214283,0.003940461270185648,40.64245810055866
1990,148005696.0,1834865262592.0,0.04134579137323234,0.06242674329482498,0.025112880147688307,15.423304379966735
1991,148455408.0,1777486528512.0,0.04080950337331914,0.061575083418337714,0.02530065012344973,15.742822022481587
1992,148725600.0,1555013173248.0,0.03852814942740358,0.05927013715113056,0.025977404411089863,17.121027319153157
1993,148897280.0,1449494315008.0,0.03654670720046776,0.0552585006742865,0.02623197716668948,18.22615193390669
1994,148829120.0,1295583412224.0,0.03346456986221903,0.05042148025239838,0.026478425259876353,20.091812666540324
1995,148557456.0,1270544072704.0,0.03285760203044437,0.04771773585286286,0.02652762460448692,20.500984271424034
1996,148233408.0,1254719356928.0,0.03236689297075318,0.04592822782299459,0.023225400703836496,18.221092727309212
1997,147939968.0,1299740884992.0,0.0318682372056419,0.04343633892918151,0.02369557792679679,18.88084725300942
