year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity
2006,1976787.0,3946096640.0,0.52,3.287,0.52
2007,1983471.0,4038812416.0,0.55,3.972,0.55
2008,1995016.0,4170596864.0,0.58,3.602,0.58
2009,2009178.0,4214040576.0,0.65,4.116,0.65
2010,2022752.0,4442653696.0,0.69,4.4,0.69
2011,2037687.0,4516049920.0,0.49,3.938,0.49
2012,2054722.0,4740080128.0,0.49,4.153,0.49
2013,2073948.0,4954224128.0,0.51,4.237,0.51
2014,2095251.0,5134647808.0,0.52,4.346,0.52
2015,2118532.0,5279079936.0,0.53,4.243,0.53
2016,2143876.0,5403951104.0,0.52,4.593,0.52
2017,2170622.0,5327153664.0,0.54,4.892,0.54
2018,2198030.0,5360395776.0,0.54,4.796,0.54
2000,2895229.0,2767093248.0,0.2,1.891,0.0
2001,2981655.0,3200677120.0,0.2,2.017,0.0
2002,3060603.0,3998735616.0,0.2,1.989,0.0
2003,3085173.0,2541250560.0,0.2,2.179,0.0
2004,3122448.0,2286431744.0,0.2,2.363,0.0
2005,3266326.0,2369891584.0,0.2,2.767,0.0
2006,3455400.0,2547129088.0,0.2,2.834,0.0
2007,3632748.0,2664910080.0,0.25,2.645,0.0
2008,3783892.0,2922602240.0,0.25,2.343,0.0
2009,3905066.0,3108979968.0,0.25,2.139,0.0
2010,4019958.0,3260614912.0,0.25,3.368,0.0
2011,4181148.0,3266880000.0,0.28,3.75,0.0
2012,4331749.0,3532272896.0,0.28,4.159,0.0
2013,4427319.0,3819599872.0,0.28,3.679,0.0
2014,4519410.0,3843632128.0,0.28,4.844,0.0
2015,4612330.0,3857900032.0,0.29,4.862,0.0
2016,4706106.0,3793504000.0,0.38,5.59,0.0
2017,4796632.0,3885372928.0,0.37,4.831,0.0
2018,4889396.0,3936415744.0,0.32,5.488,0.0
2000,5154789.0,49983479808.0,14.57,212.946,0.0
2001,5275920.0,54225657856.0,15.15,214.66,0.0
2002,5405326.0,57785786368.0,16.48,221.283,0.0
2003,5542650.0,70475227136.0,17.8,218.016,0.0
2004,5687561.0,79415615488.0,18.99,223.347,0.0
2005,5837994.0,94523187200.0,21.31,230.981,0.0
2006,5973372.0,108872966144.0,23.27,211.797,0.0
2007,6097177.0,123716337664.0,24.66,210.398,0.0
2008,6228377.0,153726681088.0,28.88,218.432,0.0
2009,6360194.0,165559664640.0,29.18,249.987,0.0
2010,6491991.0,187528527872.0,30.61,263.622,0.01
2011,6188135.0,79210020864.0,24.44,173.02,0.01
2012,5869880.0,174091337728.0,32.22,215.583,0.01
2013,5985228.0,80095117312.0,35.64,231.871,0.01
2014,6097767.0,59998892032.0,35.47,226.453,0.01
2015,6192241.0,53558087680.0,35.27,180.21,0.01
2016,6282202.0,51938050048.0,29.53,176.389,0.01
2017,6378267.0,85185675264.0,31.28,199.04,0.01
2018,6477791.0,100416020480.0,32.12,205.105,0.01
1990,3785851.0,51021991936.0,28.36,201.91,0.41
1991,3793430.0,48112087040.0,29.33,213.451,0.34
1992,3795748.0,37861879808.0,18.53,130.766,0.31
1993,3788532.0,31722383360.0,13.91,102.269,0.39
1994,3770461.0,28612204544.0,9.73,88.253,0.45
1995,3747269.0,30095167488.0,13.49,98.638,0.37
1996,3722023.0,31645790208.0,16.2,107.354,0.33
1997,3694897.0,34267160576.0,14.35,98.989,0.3
1998,3665514.0,36819656704.0,17.1,106.158,0.42
1999,3633949.0,36398338048.0,13.02,87.819,0.41
2000,3599639.0,37788340224.0,11.03,78.034,0.34
2001,3560145.0,40252133376.0,14.29,91.266,0.33
2002,3515799.0,42971131904.0,17.15,97.401,0.35
2003,3469683.0,47492665344.0,18.66,102.134,0.33
2004,3422593.0,50600710144.0,18.58,102.863,0.43
2005,3373536.0,54504800256.0,14.22,93.843,0.46
2006,3322937.0,58536325120.0,11.87,89.617,0.43
2007,3272416.0,65020497920.0,13.23,98.104,0.58
2008,3224384.0,66724208640.0,13.09,97.133,0.6
2009,3180482.0,56833646592.0,14.37,90.034,0.68
2010,3139021.0,57760002048.0,4.75,65.757,0.91
2011,3099800.0,61248360448.0,3.99,68.498,1.11
2012,3063340.0,63596855296.0,4.3,68.601,1.18
2013,3028191.0,65826070528.0,3.98,63.406,1.53
2014,2994928.0,68128043008.0,3.46,61.163,1.51
2015,2963764.0,69339054080.0,4.0,63.925,1.68
2016,2933676.0,70911025152.0,3.41,65.15,2.1
2017,2904452.0,73923043328.0,3.35,68.647,2.53
2018,2876128.0,76617523200.0,2.75,70.799,2.2
1990,381275.0,14057150464.0,0.62,37.151,0.08
1991,386405.0,15214076928.0,0.7,39.929,0.09
1992,391524.0,15430616064.0,0.66,40.043,0.08
1993,396705.0,16017019904.0,0.67,40.569,0.08
1994,402049.0,16564453376.0,0.59,39.01,0.11
1995,407639.0,16736430080.0,0.49,33.935,0.11
1996,413202.0,16903203840.0,0.45,34.899,0.08
1997,418413.0,17799362560.0,0.41,34.159,0.1
1998,423579.0,18802137088.0,0.37,32.988,0.15
1999,429352.0,20317839360.0,0.36,34.86,0.13
2000,435634.0,21906683904.0,0.4,37.204,0.16
2001,441254.0,22374428672.0,0.87,39.867,0.17
2002,445920.0,23139020800.0,2.8,43.582,0.15
2003,451351.0,23425226752.0,2.79,45.704,0.14
2004,457798.0,24177319936.0,3.37,51.78,0.19
2005,464868.0,24847697920.0,3.35,52.553,0.21
2006,472402.0,26033442816.0,3.54,51.627,0.25
2007,479877.0,28098930688.0,3.19,50.126,0.26
2008,488643.0,27632140288.0,2.72,49.761,0.28
2009,497876.0,26325504000.0,3.15,47.593,0.27
2010,507075.0,27499366400.0,3.24,50.116,0.27
2011,518207.0,28088633344.0,2.64,48.821,0.24
2012,530596.0,27989147648.0,2.76,47.953,0.31
2013,543068.0,29106192384.0,1.84,45.692,0.36
2014,556075.0,30743879680.0,1.91,44.274,0.4
2015,569415.0,31975024640.0,1.34,43.034,0.43
2016,583355.0,33357813760.0,0.79,42.459,0.46
2017,596290.0,33958649856.0,0.9,44.355,0.6
2018,607920.0,35015057408.0,0.96,46.431,0.68
2000,16216432.0,19464169472.0,0.78,9.587,0.54
2001,16709664.0,20859228160.0,0.89,9.408,0.53
2002,17211938.0,18482849792.0,0.87,7.267,0.54
2003,17724310.0,20521011200.0,0.99,9.301,0.6
2004,18250776.0,21848336384.0,1.1,10.116,0.63
2005,18792174.0,23144978432.0,1.11,9.791,0.64
2006,19350302.0,24668766208.0,1.13,9.642,0.63
2007,19924960.0,26556518400.0,1.18,10.29,0.71
2008,20513594.0,28779950080.0,1.23,10.902,0.69
2009,21117092.0,27740018688.0,1.23,9.619,0.73
2010,21731052.0,28135004160.0,1.32,10.197,0.7
2011,22348158.0,28854022144.0,1.34,11.428,0.68
2012,22966242.0,29729054720.0,1.7,13.497,0.75
2013,23588078.0,30395787264.0,1.85,14.16,0.81
2014,24215980.0,31415408640.0,1.97,15.378,0.89
2015,24850912.0,32385245184.0,2.06,16.818,0.95
2016,25501944.0,33738278912.0,2.02,17.631,0.9
2017,26169540.0,35065204736.0,2.2,16.165,0.8
2018,26846544.0,36665933824.0,2.27,15.56,0.98
2000,11229380.0,10965810176.0,1.24,6.808,1.09
2001,11498822.0,10477105152.0,1.26,6.686,1.11
2002,11784500.0,10619106304.0,1.33,6.606,1.17
2003,12087968.0,11173209088.0,1.35,6.94,1.23
2004,12411343.0,11727015936.0,1.49,7.401,1.34
2005,12755647.0,12058077184.0,1.53,7.2,1.39
2006,13118309.0,12575064064.0,1.56,7.436,1.42
2007,13495463.0,13731751936.0,1.59,7.408,1.45
2008,13889420.0,14709903360.0,1.73,8.444,1.62
2009,14298937.0,15876241408.0,1.71,7.863,1.58
2010,14718426.0,16885784576.0,1.96,9.428,1.83
2011,15146095.0,17638377472.0,2.01,9.494,1.88
2012,15581250.0,17964285952.0,2.09,9.532,1.96
2013,16024775.0,18903971840.0,2.09,9.691,1.96
2014,16477972.0,19988979712.0,2.21,9.974,2.08
2015,16938944.0,20572940288.0,2.21,9.611,2.08
2016,17405624.0,21039450112.0,2.2,10.123,2.05
2017,17881172.0,21881028608.0,2.09,10.432,1.9
2018,18367886.0,22574655488.0,1.64,9.962,1.44
1985,15108141.0,103003217920.0,14.944,171.884,3.768
1986,15558747.0,104308424704.0,16.131,188.659,4.121
1987,16033107.0,109808533504.0,17.421,194.529,4.966
1988,16524616.0,119529209856.0,19.352,204.603,5.729
1989,17020144.0,130700369920.0,21.515,228.992,5.295
1990,17517060.0,143192113152.0,23.016,240.986,4.027
1991,18017470.0,157980852224.0,26.552,301.866,4.449
1992,18526708.0,173287833600.0,31.381,340.554,4.286
1993,19050074.0,191825428480.0,34.877,342.515,4.853
1994,19588706.0,211032850432.0,39.754,363.737,6.483
1995,20136886.0,233476947968.0,46.575,397.951,6.218
1996,20689060.0,258686615552.0,53.409,444.273,5.184
1997,21249178.0,279679762432.0,59.935,515.451,4.173
1998,21810542.0,260986650624.0,64.141,495.441,4.457
1999,22368652.0,279023157248.0,68.17,529.429,7.552
2000,22945152.0,305415979008.0,69.9,611.257,7.56
2001,23542522.0,309255241728.0,75.78,625.815,6.64
2002,24142448.0,328308785152.0,80.87,659.175,5.81
2003,24739420.0,349844013056.0,83.31,714.156,5.51
2004,25333250.0,376296144896.0,96.06,771.64,6.15
2005,25923540.0,397908672512.0,98.75,835.079,6.6
2006,26509416.0,423206289408.0,103.99,843.833,6.94
2007,27092604.0,453156765696.0,108.55,900.057,6.72
2008,27664304.0,478516183040.0,113.83,932.623,8.61
2009,28217208.0,474711556096.0,116.11,903.049,8.28
2010,28717728.0,514171994112.0,125.04,932.974,7.62
2011,29184140.0,545368309760.0,127.07,949.202,9.6
2012,29660216.0,575191121920.0,134.08,1038.408,10.76
2013,30134806.0,602189201408.0,140.97,1086.738,13.04
2014,30606454.0,638408589312.0,147.47,1097.615,14.31
2015,31068834.0,670135287808.0,150.11,1114.688,14.94
2016,31526414.0,698530070528.0,156.65,1172.769,21.09
2017,31975812.0,738639609856.0,160.64,1188.313,27.94
2018,32399270.0,773658509312.0,170.58,1209.563,28.31
2000,11239103.0,12490369024.0,0.39,4.403,0.25
2001,11583825.0,14257387520.0,0.39,4.455,0.25
2002,11952660.0,14544527360.0,0.4,4.314,0.26
2003,12342167.0,15730793472.0,0.43,4.329,0.26
2004,12751997.0,15828927488.0,0.45,4.502,0.28
2005,13180556.0,16700208128.0,0.79,4.986,0.5
2006,13623541.0,17320427520.0,0.84,5.852,0.53
2007,14080916.0,17779654656.0,0.82,6.889,0.52
2008,14551122.0,18486106112.0,1.0,8.225,0.64
2009,15032645.0,19186286592.0,1.12,10.396,0.74
2010,15529183.0,20054726656.0,1.72,11.761,1.2
2011,16039734.0,20518699008.0,1.9,12.897,1.26
2012,16514689.0,20330371072.0,2.26,13.714,1.39
2013,17004038.0,20797007872.0,2.28,14.118,1.26
2014,17551824.0,22278942720.0,2.35,15.783,1.52
2015,18112910.0,23621842944.0,2.31,17.258,1.28
2016,18700108.0,24912134144.0,2.77,21.92,1.64
2017,19311356.0,26166958080.0,3.28,23.834,1.67
2018,19934304.0,27521622016.0,3.54,24.794,1.59
1990,365396.0,4761399808.0,1.11,8.106,0.0
1991,368676.0,5061075456.0,1.42,8.54,0.0
1992,371892.0,5300727296.0,1.49,8.976,0.0
1993,375257.0,5540228096.0,1.5,9.475,0.0
1994,378568.0,5855593984.0,1.54,10.143,0.0
1995,381860.0,6229765120.0,1.63,9.842,0.0
1996,385271.0,6467464192.0,1.66,10.209,0.0
1997,388843.0,6810149888.0,1.69,10.89,0.0
1998,392487.0,7162084864.0,1.72,11.406,0.0
1999,395993.0,7503059968.0,1.85,12.646,0.0
2000,399212.0,8014503936.0,1.92,18.515,0.0
2001,402163.0,8066432512.0,1.94,20.395,0.0
2002,404708.0,8310288384.0,2.05,19.9,0.0
2003,406926.0,8525085184.0,2.24,23.127,0.0
2004,408805.0,8566343168.0,2.22,24.279,0.0
2005,410217.0,8894058496.0,2.24,20.713,0.0
2006,411204.0,9060388864.0,2.26,21.168,0.0
2007,412091.0,9425146880.0,2.3,23.06,0.0
2008,413407.0,9744470016.0,2.31,23.882,0.0
2009,415509.0,9508432896.0,2.17,25.45,0.0
2010,418758.0,9849064448.0,2.11,30.381,0.0
2011,423577.0,9990638592.0,2.17,28.884,0.0
2012,429912.0,10262471680.0,2.3,27.543,0.03
2013,437531.0,10776326144.0,2.26,26.145,0.04
2014,446449.0,11795842048.0,2.25,26.757,0.08
2015,456585.0,12842327040.0,1.3,29.281,0.1
2016,467717.0,13651020800.0,0.86,32.549,0.14
2017,479507.0,14540544000.0,1.65,37.074,0.17
2018,491590.0,15606394880.0,1.97,38.703,0.2
2000,2695018.0,4838789632.0,0.23,5.046,0.03
2001,2761830.0,5040767488.0,0.27,5.267,0.03
2002,2821709.0,5178323968.0,0.5,5.655,0.03
2003,2883328.0,5603752960.0,0.47,5.923,0.04
2004,2946583.0,6050710528.0,0.51,6.369,0.04
2005,3012363.0,6728916992.0,0.5,6.647,0.05
2006,3081228.0,8166141440.0,0.45,6.474,0.05
2007,3153519.0,8570478592.0,0.47,7.31,0.05
2008,3233342.0,8846256128.0,0.55,8.994,0.06
2009,3322625.0,8935093248.0,0.58,8.931,0.11
2010,3419462.0,9559709696.0,0.64,8.872,0.12
2011,3524250.0,10187327488.0,0.83,9.551,0.13
2012,3636122.0,10792467456.0,0.91,10.567,0.14
2013,3742965.0,11410721792.0,0.94,9.612,0.21
2014,3843181.0,12165303296.0,0.98,11.508,0.22
2015,3946225.0,12316128256.0,1.14,11.662,0.32
2016,4051896.0,12527539200.0,1.21,10.89,0.29
2017,4160018.0,12897399808.0,1.51,16.321,0.33
2018,4270717.0,13278341120.0,1.69,17.4,0.43
2000,1215930.0,16925978624.0,1.68,16.069,0.28
2001,1225272.0,17186686976.0,1.8,16.401,0.31
2002,1233974.0,17171389440.0,1.85,16.111,0.33
2003,1242343.0,17855117312.0,1.98,16.461,0.37
2004,1250388.0,18301759488.0,2.05,16.964,0.37
2005,1258050.0,18300743680.0,2.14,18.18,0.62
2006,1264777.0,18854696960.0,2.22,18.978,0.35
2007,1270591.0,19614978048.0,2.32,19.697,0.35
2008,1275691.0,20333457408.0,2.43,20.27,0.37
2009,1279868.0,20585805824.0,2.46,19.555,0.49
2010,1283347.0,21054191616.0,2.57,21.067,0.47
2011,1286239.0,21489166336.0,2.6,21.594,0.4
2012,1288753.0,22182113280.0,2.64,21.74,0.35
2013,1290698.0,22889261056.0,2.73,22.077,0.38
2014,1292112.0,23718518784.0,2.8,22.753,0.42
2015,1293159.0,24548311040.0,2.86,23.597,0.49
2016,1293909.0,25506041856.0,2.9,24.531,0.48
2017,1294743.0,26478841856.0,2.97,26.914,0.45
2018,1295386.0,27474712576.0,2.97,28.407,0.52
1985,74872008.0,751167275008.0,96.208,1134.396,30.068
1986,76224360.0,728181047296.0,99.59,1100.674,24.692
1987,77553504.0,741613764608.0,106.165,1136.899,23.703
1988,78892016.0,751820210176.0,112.231,1145.465,26.469
1989,80233752.0,782981332992.0,120.047,1209.829,30.029
1990,81720424.0,823577542656.0,117.592,1319.072,29.607
1991,83351600.0,865148665856.0,128.571,1357.68,28.461
1992,84993160.0,902108282880.0,132.276,1384.109,33.183
1993,86648440.0,925343285248.0,134.643,1385.386,33.16
1994,88314416.0,972991954944.0,146.128,1464.644,26.5
1995,89969568.0,916478951424.0,150.356,1439.337,34.025
1996,91586560.0,971219795968.0,156.591,1476.888,37.533
1997,93183088.0,1045710700544.0,166.748,1512.699,32.263
1998,94767288.0,1105636622336.0,181.059,1574.172,30.754
1999,96334808.0,1156619567104.0,189.979,1597.065,38.796
2000,97873448.0,1241194692608.0,194.12,1693.276,44.51
2001,99394288.0,1251502718976.0,201.18,1679.593,39.56
2002,100917080.0,1275458093056.0,204.74,1720.058,35.67
2003,102429344.0,1306677477376.0,202.53,1740.948,31.94
2004,103945816.0,1373060333568.0,220.58,1843.091,38.07
2005,105442400.0,1427076808704.0,231.36,2019.614,41.95
2006,106886792.0,1510627082240.0,236.79,2049.177,43.45
2007,108302976.0,1572355440640.0,243.92,2068.458,41.97
2008,109684496.0,1607400947712.0,247.1,2153.523,53.01
2009,111049424.0,1543872708608.0,245.46,2117.228,40.42
2010,112532400.0,1637760630784.0,264.41,2123.579,51.25
2011,114150480.0,1716060815360.0,280.24,2219.981,50.63
2012,115755912.0,1785373786112.0,284.76,2239.852,47.16
2013,117290680.0,1810561761280.0,287.28,2241.271,44.65
2014,118755888.0,1851266170880.0,290.17,2227.508,57.44
2015,120149896.0,1899585208320.0,297.88,2202.979,52.42
2016,121519224.0,1923887267840.0,303.02,2252.842,52.97
2017,122839256.0,1964635193344.0,309.13,2295.823,55.77
2018,124013864.0,2006599729152.0,332.02,2265.69,58.13
2000,4251571.0,12554040320.0,5.3,32.95,0.39
2001,4200500.0,13087727616.0,5.64,32.234,0.36
2002,4147644.0,13857802240.0,5.77,35.498,0.35
2003,4093984.0,14513543168.0,5.95,39.424,0.36
2004,4046998.0,15302827008.0,5.8,36.806,0.35
2005,4001380.0,16157469696.0,5.97,40.291,0.36
2006,3942748.0,16628243456.0,6.08,42.639,0.37
2007,3876847.0,16819761152.0,5.87,37.104,0.35
2008,3812420.0,17815152640.0,6.01,38.324,0.38
2009,3749496.0,16449232896.0,6.19,34.537,0.35
2010,3678186.0,17302214656.0,6.11,34.162,0.4
2011,3595135.0,18154272768.0,5.78,33.101,0.35
2012,3507197.0,18018830336.0,5.81,45.268,0.27
2013,3416532.0,19713341440.0,4.5,44.536,0.31
2014,3338338.0,20658520064.0,5.38,42.598,0.33
2015,3277390.0,20576700416.0,6.05,38.075,0.27
2016,3225125.0,21399023616.0,5.85,38.051,0.24
2017,3180515.0,22402852864.0,4.96,38.689,0.3
2018,3141839.0,23299414016.0,5.38,41.251,0.3
2000,2450988.0,7225650688.0,2.82,43.362,0.0
2001,2472612.0,7799420416.0,2.89,43.276,0.0
2002,2494622.0,8569503232.0,2.98,46.155,0.0
2003,2516461.0,9616039936.0,3.02,43.815,0.0
2004,2537955.0,11156312064.0,3.19,43.011,0.0
2005,2559258.0,12547451904.0,3.3,44.603,0.0
2006,2581245.0,14288905216.0,3.43,48.041,0.0
2007,2605647.0,16520107008.0,3.61,50.428,0.0
2008,2633896.0,18865760256.0,3.91,49.832,0.01
2009,2666718.0,19534581760.0,3.94,50.457,0.01
2010,2702527.0,21791068160.0,4.07,49.192,0.05
2011,2743946.0,26811267072.0,4.27,51.2,0.06
2012,2792354.0,30114910208.0,4.53,55.022,0.06
2013,2845160.0,33619040256.0,4.71,58.388,0.12
2014,2902826.0,36271697920.0,5.08,57.184,0.21
2015,2964756.0,37107212288.0,5.2,56.872,0.22
2016,3029559.0,37463158784.0,5.35,59.658,0.25
2017,3096033.0,39174762496.0,5.52,65.152,0.25
2018,3163994.0,41531756544.0,6.15,71.146,0.44
2006,632551.0,6395709440.0,2.95,15.352,1.75
2007,631931.0,7462959616.0,2.14,13.809,1.28
2008,631475.0,8414771200.0,2.83,15.605,1.54
2009,631187.0,8371377664.0,2.76,13.46,2.07
2010,631048.0,9033098240.0,4.02,16.806,2.75
2011,631801.0,9801452544.0,2.65,13.863,1.2
2012,633053.0,9593079808.0,2.85,13.469,1.48
2013,633951.0,9985414144.0,3.94,14.505,2.5
2014,634301.0,10205667328.0,3.17,12.962,1.75
2015,633969.0,10689585152.0,3.0,13.335,1.49
2016,633264.0,10966155264.0,3.14,13.316,1.84
2017,632445.0,11443806208.0,2.48,12.434,1.12
2018,631459.0,11980409856.0,3.8,13.799,2.25
1985,22335078.0,82816245760.0,7.345,65.303,0.486
1986,22824446.0,89314713600.0,7.764,67.535,0.643
1987,23279934.0,87281655808.0,8.001,69.565,0.825
1988,23720600.0,96219234304.0,8.984,73.487,0.936
1989,24148104.0,98443649024.0,9.024,80.847,1.157
1990,24570816.0,102154764288.0,9.628,82.756,1.22
1991,24988088.0,109721313280.0,9.205,83.804,1.226
1992,25400676.0,107626446848.0,9.719,93.779,0.964
1993,25806782.0,107015757824.0,9.91,94.766,0.443
1994,26201554.0,118566420480.0,11.47,104.454,0.84
1995,26599054.0,112179724288.0,12.092,102.452,0.611
1996,26999094.0,125860003840.0,12.538,107.114,1.957
1997,27397118.0,123716861952.0,13.593,111.354,2.083
1998,27791828.0,132482457600.0,12.968,114.212,1.777
1999,28176992.0,133796593664.0,12.895,118.492,0.825
2000,28554420.0,136310685696.0,12.13,117.463,0.77
2001,28930100.0,146279415808.0,14.2,126.905,1.07
2002,29301820.0,150893953024.0,15.15,130.092,1.03
2003,29661272.0,159964561408.0,16.48,130.45,1.64
2004,30033124.0,167760838656.0,17.49,148.563,1.79
2005,30431898.0,173624639488.0,18.78,161.334,1.18
2006,30833024.0,187290255360.0,19.26,164.665,1.17
2007,31232634.0,194460172288.0,19.35,163.228,1.19
2008,31634996.0,206522777600.0,19.64,180.131,1.22
2009,32042880.0,215877484544.0,20.03,175.79,2.93
2010,32464866.0,224738361344.0,23.64,194.956,4.1
2011,32903708.0,237165936640.0,25.0,204.747,2.69
2012,33352166.0,244646084608.0,27.4,208.422,2.42
2013,33803528.0,256075628544.0,26.78,213.979,4.19
2014,34248608.0,262911197184.0,27.74,217.025,3.61
2015,34680456.0,275091619840.0,29.53,220.859,4.43
2016,35107272.0,279436951552.0,30.48,223.324,4.7
2017,35528116.0,291271114752.0,31.57,233.801,4.69
2018,35927516.0,299980095488.0,34.23,241.814,6.53
2000,17768510.0,20141916160.0,9.61,29.259,9.58
2001,18220724.0,20943671296.0,11.78,37.513,11.74
2002,18694948.0,21025374208.0,12.61,37.984,12.57
2003,19186758.0,20673806336.0,10.83,38.473,10.78
2004,19694412.0,20561729536.0,11.63,40.323,11.58
2005,20211124.0,20658225152.0,13.19,44.253,13.15
2006,20735990.0,20951971840.0,14.63,48.221,14.59
2007,21280520.0,20803538944.0,15.96,53.582,15.92
2008,21845572.0,20553353216.0,15.02,50.493,14.98
2009,22436660.0,20249942016.0,16.84,54.579,16.8
2010,23073732.0,20039610368.0,16.55,54.352,16.5
2011,23760424.0,19919628288.0,16.72,61.55,16.66
2012,24487614.0,21418940416.0,15.07,66.132,15.01
2013,25251738.0,23018831872.0,14.79,70.081,14.51
2014,26038704.0,24796993536.0,17.57,77.782,16.38
2015,26843252.0,26497042432.0,19.69,82.618,17.62
2016,27696500.0,27447091200.0,18.53,84.95,15.71
2017,28569448.0,28473886720.0,16.79,85.286,14.16
2018,29423882.0,29449971712.0,16.82,70.118,13.88
2000,45538340.0,84093542400.0,4.9,48.049,1.98
2001,46014828.0,92175081472.0,4.49,44.351,1.93
2002,46480236.0,101591490560.0,4.99,51.471,2.32
2003,46924296.0,113781440512.0,5.38,58.021,2.35
2004,47338444.0,127115616256.0,5.39,60.847,2.51
2005,47724472.0,142039121920.0,5.82,78.402,3.1
2006,48088276.0,158028611584.0,5.95,74.007,3.43
2007,48445652.0,174123352064.0,6.19,79.877,3.75
2008,48729480.0,177512906752.0,6.42,73.33,4.2
2009,49015836.0,183291527168.0,6.81,67.539,5.36
2010,49390988.0,189724114944.0,7.34,68.499,5.21
2011,49794528.0,197359075328.0,9.65,74.951,7.58
2012,50218196.0,211845251072.0,10.66,89.368,7.86
2013,50648336.0,229512151040.0,12.18,103.474,8.94
2014,51072436.0,247629414400.0,13.98,120.965,8.96
2015,51483956.0,265615310848.0,15.71,112.88,9.53
2016,51892352.0,282251788288.0,17.55,129.814,9.9
2017,52288344.0,298481287168.0,20.45,167.527,11.23
2018,52666016.0,317599023104.0,22.38,172.26,12.6
2000,1819148.0,11306642432.0,1.41,12.682,1.37
2001,1856406.0,11455887360.0,1.36,14.678,1.36
2002,1888531.0,12022087680.0,1.45,14.113,1.45
2003,1915432.0,12213628928.0,1.51,14.88,1.5
2004,1939405.0,13656686592.0,1.59,15.511,1.59
2005,1962874.0,14023657472.0,1.68,16.35,1.64
2006,1986568.0,15036091392.0,1.68,16.297,1.59
2007,2011492.0,15867124736.0,1.6,16.77,1.56
2008,2038556.0,16311734272.0,1.65,17.675,1.48
2009,2067928.0,16383498240.0,1.47,18.016,1.39
2010,2099275.0,17398968320.0,1.3,18.547,1.25
2011,2132343.0,18309781504.0,1.43,19.268,1.4
2012,2167474.0,19237945344.0,1.63,19.851,1.6
2013,2204517.0,20326299648.0,1.34,20.533,1.28
2014,2243008.0,21637730304.0,1.52,21.838,1.5
2015,2282709.0,22783369216.0,1.56,22.859,1.53
2016,2323351.0,23031048192.0,1.47,22.91,1.41
2017,2364540.0,23016767488.0,1.74,23.574,1.68
2018,2405682.0,23095486464.0,1.41,23.277,1.39
2000,24559504.0,39381725184.0,1.69,14.713,1.63
2001,24956070.0,41523109888.0,1.85,15.525,1.83
2002,25332178.0,41501458432.0,2.12,16.347,2.1
2003,25682912.0,43073953792.0,2.24,17.195,2.24
2004,26003970.0,45033771008.0,2.39,17.175,2.38
2005,26285112.0,46375899136.0,2.5,17.834,2.49
2006,26518974.0,48016625664.0,2.72,17.594,2.71
2007,26713652.0,49595510784.0,2.78,17.467,2.77
2008,26881542.0,52545966080.0,2.8,19.34,2.79
2009,27026952.0,54837735424.0,3.09,22.126,3.08
2010,27161572.0,57388249088.0,3.18,23.594,3.18
2011,27266398.0,59280310272.0,3.46,25.144,3.46
2012,27330696.0,62106288128.0,3.53,26.434,3.51
2013,27381558.0,64655773696.0,3.5,27.945,3.49
2014,27462110.0,68540932096.0,3.78,30.193,3.78
2015,27610328.0,70404489216.0,3.45,27.033,3.45
2016,27861186.0,70697787392.0,4.23,39.734,4.23
2017,28183424.0,76399984640.0,4.72,45.509,4.72
2018,28506718.0,81052450816.0,4.99,49.989,4.99
1985,14515705.0,353024507904.0,62.975,822.848,0.444
1986,14592526.0,362737696768.0,67.17,863.64,0.557
1987,14675302.0,367878504448.0,68.448,881.434,0.705
1988,14762321.0,377506496512.0,69.654,884.37,0.853
1989,14850230.0,395159109632.0,73.081,888.458,0.96
1990,14944550.0,411390803968.0,71.8,910.735,0.82
1991,15046578.0,423864926208.0,74.25,928.063,0.93
1992,15150688.0,433594990592.0,77.05,939.117,1.0
1993,15251088.0,441585762304.0,76.94,946.966,1.1
1994,15349481.0,457294184448.0,79.66,936.809,1.26
1995,15446670.0,474287669248.0,80.88,974.962,1.41
1996,15538617.0,494052179968.0,85.2,1017.111,1.82
1997,15629912.0,518267830272.0,86.28,998.851,2.01
1998,15722601.0,544860340224.0,90.88,1005.942,2.32
1999,15812491.0,575703547904.0,86.53,993.777,2.51
2000,15899138.0,603576139776.0,89.39,1006.819,2.97
2001,15981630.0,619963809792.0,93.43,1045.557,3.31
2002,16057042.0,624206544896.0,95.75,1046.061,3.98
2003,16127574.0,629605990400.0,96.6,1053.076,3.96
2004,16196036.0,646099697664.0,101.01,1088.744,5.3
2005,16261834.0,663883939840.0,99.68,1112.242,7.46
2006,16325679.0,691219595264.0,98.7,1089.576,8.06
2007,16391232.0,720938008576.0,105.0,1107.524,7.59
2008,16460775.0,737432109056.0,107.4,1094.389,9.53
2009,16536200.0,713757491200.0,113.56,1079.291,10.83
2010,16617121.0,727959470080.0,119.11,1170.651,11.19
2011,16701470.0,744360837120.0,113.81,1115.092,12.32
2012,16785296.0,736497893376.0,103.07,1095.699,12.47
2013,16867352.0,735093129216.0,101.5,1062.885,12.1
2014,16954080.0,745517678592.0,103.22,1016.331,11.65
2015,17041110.0,760077418496.0,108.8,1034.106,13.69
2016,17124512.0,776582332416.0,113.83,1043.622,14.78
2017,17207204.0,799187927040.0,115.64,1051.377,17.43
2018,17286042.0,818056003584.0,113.68,1025.894,18.91
1985,3268360.0,72396718080.0,28.465,154.415,21.718
1986,3281673.0,73916284928.0,29.345,166.407,24.181
